,bib_number,half_1st,half_second,time_total_netto,time_total_brutto,5km,10km,15km,20km,25km,30km,35km,40km,last_name,first_name
0,8,01:11:17,01:13:25,02:24:41,02:24:43,00:16:35,00:33:02,00:49:34,01:07:26,01:24:27,01:42:37,01:59:26,02:16:58,xxx,xxx
1,2802,01:12:41,01:14:47,02:27:28,02:27:29,00:16:53,00:33:43,00:50:45,01:08:51,01:25:45,01:44:22,02:01:21,02:19:29,xxx,xxx
2,616,01:12:44,01:17:20,02:30:04,02:30:06,00:16:24,00:33:02,00:49:34,01:08:44,01:26:15,01:45:41,02:03:04,02:21:58,xxx,xxx
3,62,01:14:20,01:15:45,02:30:04,02:30:06,00:16:52,00:34:02,00:51:39,01:10:22,01:27:41,01:46:17,02:03:20,02:21:58,xxx,xxx
4,298,01:15:42,01:18:31,02:34:13,02:34:13,00:17:00,00:34:24,00:52:28,01:11:47,01:29:31,01:48:49,02:07:36,02:26:22,xxx,xxx
5,5173,01:14:32,01:20:49,02:35:20,02:35:21,00:16:59,00:34:02,00:51:36,01:10:24,01:28:10,01:47:19,02:06:38,02:26:40,xxx,xxx
6,5179,01:13:59,01:22:03,02:36:01,02:36:02,00:16:58,00:33:47,00:51:05,01:09:53,01:27:52,01:48:04,02:07:08,02:27:28,xxx,xxx
7,3803,01:14:03,01:23:45,02:37:47,02:38:57,00:18:04,00:34:38,00:51:48,01:10:18,01:27:24,01:47:06,02:05:05,02:28:04,xxx,xxx
8,5204,01:18:45,01:19:06,02:37:50,02:37:54,00:18:48,00:37:09,00:55:16,01:14:37,01:32:49,01:52:05,02:10:05,02:29:21,xxx,xxx
9,2804,01:18:24,01:19:41,02:38:05,02:38:07,00:18:13,00:36:25,00:54:54,01:14:24,01:32:34,01:52:00,02:10:13,02:29:33,xxx,xxx
10,7986,01:20:25,01:18:28,02:38:52,02:39:02,00:18:43,00:37:16,00:56:01,01:16:13,01:34:52,01:54:28,02:12:04,02:30:51,xxx,xxx
11,5261,01:20:42,01:18:25,02:39:06,02:39:36,00:18:56,00:37:26,00:56:17,01:16:40,01:34:45,01:54:21,02:11:58,02:30:57,xxx,xxx
12,81,01:18:52,01:20:21,02:39:12,02:39:13,00:18:37,00:37:01,00:55:45,01:14:53,01:32:53,01:52:09,02:10:17,02:30:12,xxx,xxx
13,5180,01:20:06,01:19:14,02:39:20,02:39:23,00:18:48,00:37:22,00:56:06,01:15:47,01:34:41,01:54:06,02:12:07,02:30:59,xxx,xxx
14,20164,01:17:07,01:22:31,02:39:37,02:39:42,00:17:58,00:35:38,00:53:50,01:13:00,01:31:27,01:50:55,02:10:09,02:30:35,xxx,xxx
15,5181,01:19:30,01:20:20,02:39:49,02:40:15,00:19:19,00:36:58,00:55:00,01:15:26,01:33:29,01:53:47,02:11:46,02:31:03,xxx,xxx
16,5227,01:19:38,01:20:25,02:40:02,02:40:07,00:18:54,00:37:19,00:55:50,01:15:34,01:33:38,01:53:12,02:11:16,02:31:05,xxx,xxx
17,5356,01:20:06,01:20:16,02:40:22,02:40:24,00:18:33,00:37:07,00:55:45,01:15:53,01:34:42,01:54:37,02:12:41,02:32:03,xxx,xxx
18,5188,01:19:07,01:21:29,02:40:35,02:40:38,00:18:49,00:37:09,00:55:17,01:14:56,01:33:29,01:53:37,02:12:04,02:32:05,xxx,xxx
19,5396,01:21:14,01:19:27,02:40:41,02:40:44,00:19:27,00:38:29,00:57:29,01:17:06,01:35:42,01:55:23,02:13:29,02:32:43,xxx,xxx
20,5134,01:19:27,01:21:18,02:40:44,02:42:01,00:19:29,00:37:14,00:55:42,01:15:10,01:34:10,01:54:25,02:13:31,02:32:48,xxx,xxx
21,5209,01:19:41,01:21:03,02:40:44,02:40:45,00:18:16,00:36:27,00:55:00,01:15:18,01:34:13,01:54:28,02:13:04,02:32:29,xxx,xxx
22,2632,01:19:38,01:21:25,02:41:03,02:41:04,00:18:18,00:36:26,00:54:56,01:15:19,01:34:12,01:54:26,02:12:29,02:32:28,xxx,xxx
23,59,01:16:13,01:24:51,02:41:03,02:41:06,00:17:00,00:34:37,00:52:25,01:12:08,01:30:08,01:50:15,02:08:57,02:32:04,xxx,xxx
24,5287,01:20:47,01:20:53,02:41:39,02:42:01,00:19:21,00:37:50,00:56:25,01:16:37,01:35:21,01:55:44,02:14:13,02:33:44,xxx,xxx
25,5197,01:17:27,01:24:33,02:41:59,02:42:00,00:18:07,00:35:44,00:53:33,01:13:17,01:32:10,01:52:36,02:11:15,02:32:42,xxx,xxx
26,5257,01:21:27,01:20:39,02:42:06,02:42:32,00:19:31,00:38:23,00:57:30,01:17:16,01:36:01,01:55:56,02:14:25,02:33:55,xxx,xxx
27,160,01:16:42,01:25:56,02:42:37,02:42:39,00:17:41,00:35:20,00:53:07,01:12:27,01:31:44,01:52:31,02:12:17,02:33:30,xxx,xxx
28,2665,01:19:52,01:22:46,02:42:38,02:42:54,00:18:52,00:36:58,00:55:32,01:15:35,01:34:28,01:54:39,02:13:09,02:33:27,xxx,xxx
29,66,01:20:43,01:21:57,02:42:40,02:42:41,00:18:43,00:37:24,00:56:09,01:16:25,01:35:25,01:55:38,02:14:28,02:34:12,xxx,xxx
30,5218,01:23:02,01:19:54,02:42:55,02:43:30,00:20:17,00:39:13,00:58:24,01:18:45,01:37:42,01:57:36,02:16:06,02:35:05,xxx,xxx
31,86,01:20:21,01:22:35,02:42:55,02:43:29,00:19:26,00:37:53,00:56:21,01:16:04,01:35:01,01:55:17,02:13:49,02:33:54,xxx,xxx
32,5331,01:20:11,01:22:51,02:43:01,02:43:02,00:18:23,00:37:04,00:56:00,01:15:54,01:35:22,01:56:31,02:14:15,02:33:49,xxx,xxx
33,5357,01:21:31,01:21:32,02:43:03,02:43:41,00:19:53,00:38:10,00:57:17,01:17:20,01:36:09,01:56:16,02:14:49,02:34:47,xxx,xxx
