,bib_number,half_1st,half_second,time_total_netto,time_total_brutto,5km,10km,15km,20km,25km,30km,35km,40km,last_name,first_name,grade_time
0,8,4277,4405,8681,8683,995,1982,2974,4046,5067,6157,7166,8218,xxx,xxx,<3h
1,2802,4361,4487,8848,8849,1013,2023,3045,4131,5145,6262,7281,8369,xxx,xxx,<3h
2,616,4364,4640,9004,9006,984,1982,2974,4124,5175,6341,7384,8518,xxx,xxx,<3h
3,62,4460,4545,9004,9006,1012,2042,3099,4222,5261,6377,7400,8518,xxx,xxx,<3h
4,298,4542,4711,9253,9253,1020,2064,3148,4307,5371,6529,7656,8782,xxx,xxx,<3h
5,5173,4472,4849,9320,9321,1019,2042,3096,4224,5290,6439,7598,8800,xxx,xxx,<3h
6,5179,4439,4923,9361,9362,1018,2027,3065,4193,5272,6484,7628,8848,xxx,xxx,<3h
7,3803,4443,5025,9467,9537,1084,2078,3108,4218,5244,6426,7505,8884,xxx,xxx,<3h
8,5204,4725,4746,9470,9474,1128,2229,3316,4477,5569,6725,7805,8961,xxx,xxx,<3h
9,2804,4704,4781,9485,9487,1093,2185,3294,4464,5554,6720,7813,8973,xxx,xxx,<3h
10,7986,4825,4708,9532,9542,1123,2236,3361,4573,5692,6868,7924,9051,xxx,xxx,<3h
11,5261,4842,4705,9546,9576,1136,2246,3377,4600,5685,6861,7918,9057,xxx,xxx,<3h
12,81,4732,4821,9552,9553,1117,2221,3345,4493,5573,6729,7817,9012,xxx,xxx,<3h
13,5180,4806,4754,9560,9563,1128,2242,3366,4547,5681,6846,7927,9059,xxx,xxx,<3h
14,20164,4627,4951,9577,9582,1078,2138,3230,4380,5487,6655,7809,9035,xxx,xxx,<3h
15,5181,4770,4820,9589,9615,1159,2218,3300,4526,5609,6827,7906,9063,xxx,xxx,<3h
16,5227,4778,4825,9602,9607,1134,2239,3350,4534,5618,6792,7876,9065,xxx,xxx,<3h
17,5356,4806,4816,9622,9624,1113,2227,3345,4553,5682,6877,7961,9123,xxx,xxx,<3h
18,5188,4747,4889,9635,9638,1129,2229,3317,4496,5609,6817,7924,9125,xxx,xxx,<3h
19,5396,4874,4767,9641,9644,1167,2309,3449,4626,5742,6923,8009,9163,xxx,xxx,<3h
20,5134,4767,4878,9644,9721,1169,2234,3342,4510,5650,6865,8011,9168,xxx,xxx,<3h
21,5209,4781,4863,9644,9645,1096,2187,3300,4518,5653,6868,7984,9149,xxx,xxx,<3h
22,2632,4778,4885,9663,9664,1098,2186,3296,4519,5652,6866,7949,9148,xxx,xxx,<3h
23,59,4573,5091,9663,9666,1020,2077,3145,4328,5408,6615,7737,9124,xxx,xxx,<3h
24,5287,4847,4853,9699,9721,1161,2270,3385,4597,5721,6944,8053,9224,xxx,xxx,<3h
25,5197,4647,5073,9719,9720,1087,2144,3213,4397,5530,6756,7875,9162,xxx,xxx,<3h
26,5257,4887,4839,9726,9752,1171,2303,3450,4636,5761,6956,8065,9235,xxx,xxx,<3h
27,160,4602,5156,9757,9759,1061,2120,3187,4347,5504,6751,7937,9210,xxx,xxx,<3h
28,2665,4792,4966,9758,9774,1132,2218,3332,4535,5668,6879,7989,9207,xxx,xxx,<3h
29,66,4843,4917,9760,9761,1123,2244,3369,4585,5725,6938,8068,9252,xxx,xxx,<3h
30,5218,4982,4794,9775,9810,1217,2353,3504,4725,5862,7056,8166,9305,xxx,xxx,<3h
31,86,4821,4955,9775,9809,1166,2273,3381,4564,5701,6917,8029,9234,xxx,xxx,<3h
32,5331,4811,4971,9781,9782,1103,2224,3360,4554,5722,6991,8055,9229,xxx,xxx,<3h
33,5357,4891,4892,9783,9821,1193,2290,3437,4640,5769,6976,8089,9287,xxx,xxx,<3h
34,5233,4864,4928,9791,9796,1123,2250,3391,4611,5751,6982,8113,9298,xxx,xxx,<3h
35,7799,4957,4865,9821,9824,1187,2343,3488,4712,5831,7031,8111,9299,xxx,xxx,<3h
36,2583,4993,4847,9839,9841,1187,2354,3519,4743,5855,7032,8155,9331,xxx,xxx,<3h
