,bib_number,5km,10km,15km,20km,25km,30km,35km,40km
0,8,995,987,992,1072,1021,1090,1009,1052
1,2802,1013,1010,1022,1086,1014,1117,1019,1088
2,616,984,998,992,1150,1051,1166,1043,1134
3,62,1012,1030,1057,1123,1039,1116,1023,1118
4,298,1020,1044,1084,1159,1064,1158,1127,1126
5,5173,1019,1023,1054,1128,1066,1149,1159,1202
6,5179,1018,1009,1038,1128,1079,1212,1144,1220
7,3803,1084,994,1030,1110,1026,1182,1079,1379
8,5204,1128,1101,1087,1161,1092,1156,1080,1156
9,2804,1093,1092,1109,1170,1090,1166,1093,1160
10,7986,1123,1113,1125,1212,1119,1176,1056,1127
11,5261,1136,1110,1131,1223,1085,1176,1057,1139
12,81,1117,1104,1124,1148,1080,1156,1088,1195
13,5180,1128,1114,1124,1181,1134,1165,1081,1132
14,20164,1078,1060,1092,1150,1107,1168,1154,1226
15,5181,1159,1059,1082,1226,1083,1218,1079,1157
16,5227,1134,1105,1111,1184,1084,1174,1084,1189
17,5356,1113,1114,1118,1208,1129,1195,1084,1162
18,5188,1129,1100,1088,1179,1113,1208,1107,1201
19,5396,1167,1142,1140,1177,1116,1181,1086,1154
20,5134,1169,1065,1108,1168,1140,1215,1146,1157
21,5209,1096,1091,1113,1218,1135,1215,1116,1165
22,2632,1098,1088,1110,1223,1133,1214,1083,1199
23,59,1020,1057,1068,1183,1080,1207,1122,1387
24,5287,1161,1109,1115,1212,1124,1223,1109,1171
25,5197,1087,1057,1069,1184,1133,1226,1119,1287
26,5257,1171,1132,1147,1186,1125,1195,1109,1170
27,160,1061,1059,1067,1160,1157,1247,1186,1273
28,2665,1132,1086,1114,1203,1133,1211,1110,1218
29,66,1123,1121,1125,1216,1140,1213,1130,1184
30,5218,1217,1136,1151,1221,1137,1194,1110,1139
31,86,1166,1107,1108,1183,1137,1216,1112,1205
32,5331,1103,1121,1136,1194,1168,1269,1064,1174
33,5357,1193,1097,1147,1203,1129,1207,1113,1198
34,5233,1123,1127,1141,1220,1140,1231,1131,1185
35,7799,1187,1156,1145,1224,1119,1200,1080,1188
36,2583,1187,1167,1165,1224,1112,1177,1123,1176
37,5393,1173,1143,1154,1230,1156,1226,1117,1157
